5132,1,3,855,-2.33,-9.70,-1.83,-0.24,0.13,-0.14,39.72,2.70,20.68
5189,1,3,912,-5.60,-8.51,6.92,-0.25,0.14,-0.15,84.58,-45.18,66.18
5246,1,3,969,-11.58,-7.00,10.75,-0.28,0.18,-0.17,137.05,-12.02,121.67
5303,1,3,1026,-14.83,-8.07,11.94,-0.31,0.26,-0.21,198.35,8.21,163.02
5360,1,3,1083,-19.60,-6.79,17.16,-0.33,0.36,-0.24,279.68,-52.07,187.96
5417,1,3,1140,-19.60,-1.69,19.60,-0.35,0.47,-0.22,286.68,-8.81,220.06
5474,1,3,1197,-19.60,2.38,19.60,-0.32,0.60,-0.18,286.68,175.62,143.14
5531,1,3,1254,-15.48,6.27,18.11,-0.26,0.73,-0.07,286.68,23.61,24.11
5588,1,3,1311,-1.65,2.47,4.17,-0.26,0.75,0.05,286.55,-19.59,-6.66
5645,1,3,1368,-0.24,2.07,3.25,-0.26,0.73,0.12,177.06,47.52,-55.39
5702,1,3,1425,-0.27,3.78,1.49,-0.29,0.70,0.15,63.73,6.99,-63.23
5759,1,3,1482,-4.76,5.36,0.46,-0.31,0.68,0.16,-41.92,85.22,-42.95
5816,1,3,1539,-6.71,1.28,2.36,-0.33,0.68,0.13,-133.25,113.15,-4.62
5873,1,3,1596,-5.81,-2.36,6.45,-0.33,0.70,0.05,-201.51,93.58,23.83
5930,1,3,1653,-8.18,-5.53,7.31,-0.32,0.70,-0.01,-249.45,145.00,45.07
5987,1,3,1710,-9.74,-5.92,10.58,-0.29,0.67,-0.15,-275.49,83.19,61.99
6044,1,3,1767,-9.77,-4.89,10.09,-0.26,0.62,-0.20,-277.24,21.55,59.75
6101,1,3,1824,-11.50,-3.76,8.17,-0.25,0.57,-0.26,-255.19,-6.97,43.05
6158,1,3,1881,-7.14,-4.69,9.92,-0.25,0.46,-0.28,-207.82,5.67,35.06
6215,1,3,1938,-9.60,-5.23,10.57,-0.24,0.41,-0.30,-148.25,1.75,37.56
6272,1,3,1995,-7.45,-5.03,6.62,-0.23,0.38,-0.28,-92.33,12.04,33.30
6329,1,3,2052,-7.86,-6.00,6.07,-0.23,0.35,-0.30,-49.10,13.96,29.20
6411,1,4,1,-9.41,-1.07,6.08,-0.22,0.34,-0.29,-12.99,18.47,20.95
6469,1,4,58,-8.63,-0.37,7.13,-0.23,0.34,-0.30,-1.00,-40.39,15.60
6526,1,4,115,-7.73,0.48,6.76,-0.24,0.34,-0.29,3.29,-15.92,13.77
6583,1,4,172,-7.57,-0.36,5.25,-0.24,0.35,-0.29,1.96,20.92,11.52
