1376,3,1,1368,-7.63,-2.96,2.78,-0.33,0.70,0.05,-134.44,-206.63,130.34
1433,3,1,1425,-6.74,-5.57,2.13,-0.30,0.72,0.03,-147.71,-58.23,109.20
1490,3,1,1482,-8.71,-5.45,3.34,-0.27,0.73,-0.00,-136.37,-43.55,95.81
1547,3,1,1539,-8.86,-6.97,1.31,-0.25,0.74,-0.04,-116.35,-51.01,78.58
1604,3,1,1596,-7.37,-7.37,1.07,-0.23,0.73,-0.07,-100.15,-58.47,57.65
1661,3,1,1653,-6.84,-8.20,1.43,-0.21,0.73,-0.10,-83.40,-23.13,42.13
1718,3,1,1710,-0.68,-9.02,4.39,-0.20,0.72,-0.12,-59.74,-92.12,25.45
1775,3,1,1767,-10.89,-9.41,13.46,-0.20,0.71,-0.12,-51.44,-40.60,18.51
1832,3,1,1824,-5.53,-8.06,1.38,-0.21,0.71,-0.13,-32.87,0.46,17.10
1889,3,1,1881,-4.65,-7.86,4.11,-0.20,0.70,-0.15,-26.12,28.07,13.75
1946,3,1,1938,-6.52,-6.93,5.48,-0.20,0.69,-0.16,-23.75,13.88,15.09
2003,3,1,1995,-8.75,-7.03,8.48,-0.19,0.70,-0.16,-25.37,-40.04,17.51
2060,3,1,2052,-8.18,-6.11,-0.43,-0.20,0.69,-0.18,-15.93,-52.97,11.72
2142,3,2,0,-5.84,-7.12,2.93,-0.20,0.69,-0.17,-3.57,-4.20,4.19
2199,3,2,57,-7.33,-7.29,3.40,-0.20,0.70,-0.15,2.97,-54.82,2.41
2256,3,2,114,-5.73,-6.70,2.39,-0.22,0.69,-0.16,1.09,-2.66,2.57
2313,3,2,171,-7.35,-6.97,4.12,-0.22,0.69,-0.16,-0.17,3.04,2.65
2370,3,2,228,-6.64,-7.01,2.82,-0.22,0.69,-0.17,-0.02,-3.09,3.62
2427,3,2,285,-6.70,-7.29,2.47,-0.21,0.69,-0.15,0.24,-15.79,2.25
2484,3,2,342,-10.02,-9.17,-3.28,-0.22,0.69,-0.15,4.97,-39.69,4.59
2541,3,2,399,-11.28,-9.22,4.10,-0.22,0.68,-0.15,11.35,-36.60,7.28
2598,3,2,456,-15.28,-12.77,11.99,-0.23,0.69,-0.14,23.75,-106.48,19.20
2655,3,2,513,2.75,-9.21,-1.21,-0.24,0.71,-0.12,46.28,-118.49,35.95
2712,3,2,570,1.12,-16.50,-10.21,-0.25,0.74,-0.07,114.84,-142.10,65.08
2769,3,2,627,6.93,-18.67,-16.98,-0.23,0.75,-0.00,242.98,40.13,135.48
2826,3,2,684,-5.17,-0.04,2.73,-0.20,0.76,0.06,286.68,286.67,120.17
2883,3,2,741,-6.47,-0.81,-3.43,-0.19,0.75,0.13,286.68,286.68,-72.65
2940,3,2,798,-7.47,-4.88,-3.21,-0.32,0.69,0.13,158.52,171.77,-166.33
2997,3,2,855,-9.66,-3.46,-1.99,-0.36,0.64,0.15,83.57,112.47,-127.56
3054,3,2,912,-13.09,-3.87,-1.73,-0.39,0.61,0.13,33.84,74.47,-86.64
3111,3,2,969,-9.14,-2.23,0.91,-0.41,0.58,0.12,15.44,-31.53,-46.91
3168,3,2,1026,-8.52,-2.35,0.46,-0.42,0.58,0.13,-6.12,12.11,-17.49
3225,3,2,1083,-7.66,-2.98,0.14,-0.42,0.57,0.13,-21.58,-5.61,6.40
3282,3,2,1140,-7.08,-3.07,0.64,-0.42,0.58,0.13,-38.31,9.88,25.11
3339,3,2,1197,-6.65,-2.66,-0.63,-0.42,0.58,0.11,-57.89,35.92,40.22
3396,3,2,1254,-6.61,-2.46,1.21,-0.41,0.60,0.09,-77.74,-21.28,54.94
3453,3,2,1311,-8.05,-1.70,4.05,-0.40,0.62,0.10,-91.35,-14.86,64.24
3510,3,2,1368,-11.73,-3.11,3.63,-0.39,0.65,0.08,-97.32,42.53,82.42
3567,3,2,1425,-11.41,-4.26,3.25,-0.34,0.68,0.04,-92.84,-64.10,97.89
3624,3,2,1482,-7.51,-4.48,3.10,-0.32,0.70,0.03,-96.25,61.64,102.73
3681,3,2,1539,-9.08,-5.46,3.17,-0.30,0.71,-0.01,-85.29,12.03,103.17
3738,3,2,1596,-9.25,-6.71,2.89,-0.26,0.74,-0.04,-84.36,-27.87,96.38
3795,3,2,1653,-7.67,-7.05,2.88,-0.24,0.74,-0.06,-84.37,-62.13,83.89
3852,3,2,1710,-7.71,-7.88,4.39,-0.22,0.73,-0.07,-75.03,-69.35,73.61
3909,3,2,1767,-6.41,-7.25,4.13,-0.20,0.73,-0.09,-59.32,0.78,67.05
3966,3,2,1824,-6.31,-7.46,3.28,-0.18,0.72,-0.11,-42.22,-3.05,58.61
4023,3,2,1881,-6.07,-14.22,15.90,-0.16,0.73,-0.13,-39.37,-143.46,72.78
4080,3,2,1938,-5.85,-7.38,4.88,-0.17,0.72,-0.13,-35.23,-15.30,22.71
4137,3,2,1995,-4.21,-6.73,3.98,-0.17,0.71,-0.13,-22.20,10.80,13.48
4194,3,2,2052,-3.70,-8.39,3.96,-0.17,0.72,-0.15,-15.46,-11.73,11.81
